Incident cases	Number of Records	Region	Year
17000	1	Africa	1990
17000	1	Africa	1991
18000	1	Africa	1992
19000	1	Africa	1993
20000	1	Africa	1994
21000	1	Africa	1995
22000	1	Africa	1996
23000	1	Africa	1997
24000	1	Africa	1998
25000	1	Africa	1999
26000	1	Africa	2000
27000	1	Africa	2001
28000	1	Africa	2002
29000	1	Africa	2003
30000	1	Africa	2004
30000	1	Africa	2005
31000	1	Africa	2006
32000	1	Africa	2007
32000	1	Africa	2008
32000	1	Africa	2009
32000	1	Africa	2010
32000	1	Africa	2011
32000	1	Africa	2012
32000	1	Africa	2013
21000	1	Africa	1990
22000	1	Africa	1991
23000	1	Africa	1992
25000	1	Africa	1993
26000	1	Africa	1994
27000	1	Africa	1995
29000	1	Africa	1996
30000	1	Africa	1997
32000	1	Africa	1998
33000	1	Africa	1999
35000	1	Africa	2000
37000	1	Africa	2001
39000	1	Africa	2002
41000	1	Africa	2003
43000	1	Africa	2004
46000	1	Africa	2005
48000	1	Africa	2006
51000	1	Africa	2007
54000	1	Africa	2008
56000	1	Africa	2009
59000	1	Africa	2010
63000	1	Africa	2011
66000	1	Africa	2012
69000	1	Africa	2013
6300	1	Africa	1990
6200	1	Africa	1991
6100	1	Africa	1992
6100	1	Africa	1993
6000	1	Africa	1994
6000	1	Africa	1995
5900	1	Africa	1996
6000	1	Africa	1997
6000	1	Africa	1998
6000	1	Africa	1999
6000	1	Africa	2000
6000	1	Africa	2001
6000	1	Africa	2002
5900	1	Africa	2003
5900	1	Africa	2004
6000	1	Africa	2005
6000	1	Africa	2006
6100	1	Africa	2007
6300	1	Africa	2008
6400	1	Africa	2009
6600	1	Africa	2010
6800	1	Africa	2011
7000	1	Africa	2012
7200	1	Africa	2013
7500	1	Africa	1990
8700	1	Africa	1991
9900	1	Africa	1992
11000	1	Africa	1993
13000	1	Africa	1994
14000	1	Africa	1995
15000	1	Africa	1996
15000	1	Africa	1997
16000	1	Africa	1998
16000	1	Africa	1999
16000	1	Africa	2000
16000	1	Africa	2001
15000	1	Africa	2002
15000	1	Africa	2003
14000	1	Africa	2004
14000	1	Africa	2005
13000	1	Africa	2006
12000	1	Africa	2007
12000	1	Africa	2008
11000	1	Africa	2009
10000	1	Africa	2010
9500	1	Africa	2011
8900	1	Africa	2012
8400	1	Africa	2013
7700	1	Africa	1990
7900	1	Africa	1991
8000	1	Africa	1992
8100	1	Africa	1993
8200	1	Africa	1994
8300	1	Africa	1995
8300	1	Africa	1996
8300	1	Africa	1997
8200	1	Africa	1998
8200	1	Africa	1999
8200	1	Africa	2000
8200	1	Africa	2001
8300	1	Africa	2002
8400	1	Africa	2003
8500	1	Africa	2004
8600	1	Africa	2005
8700	1	Africa	2006
8800	1	Africa	2007
8900	1	Africa	2008
9000	1	Africa	2009
9100	1	Africa	2010
9100	1	Africa	2011
9100	1	Africa	2012
9100	1	Africa	2013
9200	1	Africa	1990
11000	1	Africa	1991
13000	1	Africa	1992
16000	1	Africa	1993
18000	1	Africa	1994
20000	1	Africa	1995
21000	1	Africa	1996
21000	1	Africa	1997
21000	1	Africa	1998
20000	1	Africa	1999
19000	1	Africa	2000
18000	1	Africa	2001
18000	1	Africa	2002
17000	1	Africa	2003
16000	1	Africa	2004
15000	1	Africa	2005
15000	1	Africa	2006
14000	1	Africa	2007
14000	1	Africa	2008
14000	1	Africa	2009
13000	1	Africa	2010
13000	1	Africa	2011
13000	1	Africa	2012
13000	1	Africa	2013
620	1	Africa	1990
630	1	Africa	1991
640	1	Africa	1992
650	1	Africa	1993
660	1	Africa	1994
670	1	Africa	1995
680	1	Africa	1996
690	1	Africa	1997
700	1	Africa	1998
700	1	Africa	1999
710	1	Africa	2000
720	1	Africa	2001
720	1	Africa	2002
730	1	Africa	2003
730	1	Africa	2004
730	1	Africa	2005
730	1	Africa	2006
730	1	Africa	2007
720	1	Africa	2008
720	1	Africa	2009
720	1	Africa	2010
710	1	Africa	2011
710	1	Africa	2012
710	1	Africa	2013
13000	1	Africa	1990
15000	1	Africa	1991
18000	1	Africa	1992
21000	1	Africa	1993
25000	1	Africa	1994
29000	1	Africa	1995
33000	1	Africa	1996
37000	1	Africa	1997
42000	1	Africa	1998
46000	1	Africa	1999
49000	1	Africa	2000
52000	1	Africa	2001
54000	1	Africa	2002
55000	1	Africa	2003
56000	1	Africa	2004
56000	1	Africa	2005
56000	1	Africa	2006
56000	1	Africa	2007
55000	1	Africa	2008
54000	1	Africa	2009
54000	1	Africa	2010
53000	1	Africa	2011
53000	1	Africa	2012
52000	1	Africa	2013
25000	1	Africa	1990
28000	1	Africa	1991
31000	1	Africa	1992
34000	1	Africa	1993
37000	1	Africa	1994
