Incident_Cases_Africa,Year,Incident_Cases_Americas,Incident_Cases_Europe,Incident_Cases_EM,Incident_Cases_SEA,Incident_Cases_WP
1369057,1990,401467,364476,514550,2881520,2495012
1431053,1991,400364,395948,520770,2891210,2387610
1488362,1992,398595,431139,536720,3001910,2391717
1550676,1993,393269,467299,553130,3022700,2387391
1637297,1994,391212,509407,567210,3034390,2283073
1731619,1995,372892,534587,581409,3158180,2279556
1818957,1996,367333,558857,594576,3183960,2278941
1901201,1997,361292,577184,602812,3201740,2169450
2020633,1998,353544,591057,614915,3330610,2168676
2117274,1999,348053,600568,621890,3348490,2074795
2204713,2000,342203,602499,631810,3479480,2077022
2300552,2001,327636,591284,631010,3482370,2075346
2373583,2002,321817,589048,640060,3507760,1974428
2438892,2003,317447,575762,653030,3509860,1961792
2492831,2004,310749,557174,662740,3621860,1860419
2543966,2005,305204,542614,673090,3622050,1860449
2552912,2006,300903,518469,674640,3533050,1859605
2578759,2007,295765,492269,686000,3530040,1758299
2582397,2008,292696,467928,698780,3527930,1750673
2596367,2009,290765,444533,709260,3536030,1748263
2574840,2010,289697,422214,722930,3435020,1748261
2601494,2011,287864,396762,731110,3446030,1647938
2599913,2012,286149,372612,732160,3455030,1638046
2595728,2013,285213,359760,741950,3364040,1617034
