Pop_Africa,Pop_Americas,Pop_Europe,Pop_EM,Pop_WP,Pop_SEA,Year
502970338,726564416,848557031,378032242,1531602660,1309996650,1990
517234627,737714156,852421129,388179500,1554607871,1335405736,1991
531812865,748864695,855821399,398344245,1575897156,1360559316,1992
546641498,760061836,858756269,408514353,1595502061,1385538289,1993
561636401,771371385,861242581,418681029,1613592828,1410471272,1994
576744821,782828016,863315122,428840978,1630331300,1435446928,1995
591951348,794460143,864959441,438994636,1645667533,1460463161,1996
607297345,806216006,866231131,449150585,1659616398,1485466779,1997
622859385,817952919,867325801,459326719,1672512077,1510432145,1998
638744959,829478006,868499345,469547719,1684799173,1535320146,1999
655041871,840655258,869943896,479839148,1696830370,1560087998,2000
671776860,851428555,871720123,490186918,1708736869,1584758435,2001
688959998,861842424,873805828,500605995,1720541858,1610201780,2002
706642674,871986443,876202894,511184148,1732354734,1634497877,2003
724879500,881999198,878884183,522035170,1744261834,1658309685,2004
743711558,891984267,881815380,533230817,1756326296,1681500430,2005
763161061,901962156,885020120,544812621,1768603282,1703979830,2006
783231097,911907239,888476746,556731477,1781112803,1725818244,2007
803916077,921822515,892044221,568855501,1793823955,1747237087,2008
825199127,931701000,895534631,580999001,1806672999,1768552752,2009
847062195,941536186,898808075,593025138,1819591788,1789987553,2010
879889810,951335616,901804011,594498794,1832570438,1811618360,2011
903366645,961102884,903366645,605753539,1845562277,1833358645,2012
927370706,970820511,907052722,616906419,1858410405,1855067723,2013
